,Churn,tenure,Contract,Monthly,InternetService,SeniorCitizen,Partner,Dependents,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaymentMethod,Total,Cuentas_Diarias
80,0,26,Month-to-month,45.8,DSL,0,0,1,Yes,No,No,Yes,Mailed check,1147.0,1.53
81,0,72,Month-to-month,94.65,Fiber optic,0,1,0,No,No,Yes,No,Electronic check,6747.35,3.16
82,0,44,One year,20.5,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),865.05,0.68
83,0,66,Month-to-month,89.4,Fiber optic,0,0,0,No,Yes,No,No,Credit card (automatic),5976.9,2.98
84,1,2,Month-to-month,86.25,Fiber optic,0,0,0,Yes,Yes,No,Yes,Electronic check,181.65,2.88
85,0,44,One year,74.85,DSL,1,0,0,No,No,Yes,Yes,Bank transfer (automatic),3268.05,2.49
86,1,12,Month-to-month,89.75,Fiber optic,0,0,0,No,Yes,No,No,Bank transfer (automatic),1052.4,2.99
87,0,69,Two year,109.95,Fiber optic,1,1,0,No,Yes,Yes,Yes,Electronic check,7634.25,3.66
88,1,1,Month-to-month,80.2,Fiber optic,0,0,0,No,Yes,No,No,Mailed check,80.2,2.67
89,1,3,Month-to-month,19.85,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,63.75,0.66
90,0,2,Month-to-month,90.35,Fiber optic,0,1,0,Yes,Yes,No,No,Electronic check,190.5,3.01
91,0,27,Month-to-month,86.45,Fiber optic,1,0,0,No,Yes,Yes,No,Bank transfer (automatic),2401.05,2.88
92,0,26,Month-to-month,20.3,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Electronic check,511.25,0.68
93,0,39,Month-to-month,101.25,Fiber optic,1,1,0,No,No,No,Yes,Electronic check,3949.15,3.38
94,1,25,Month-to-month,94.7,Fiber optic,0,0,0,No,No,No,No,Bank transfer (automatic),2362.1,3.16
95,1,1,Month-to-month,70.9,Fiber optic,0,0,0,No,No,No,No,Mailed check,70.9,2.36
97,1,22,Month-to-month,54.2,DSL,0,1,0,Yes,No,No,Yes,Electronic check,1152.7,1.81
99,0,72,Two year,114.9,Fiber optic,0,0,0,Yes,Yes,Yes,Yes,Electronic check,8496.7,3.83
100,0,24,Two year,19.55,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),470.2,0.65
101,0,19,Month-to-month,86.85,Fiber optic,0,1,0,No,No,No,No,Electronic check,1564.4,2.9
102,0,71,Two year,25.35,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),1847.55,0.85
103,0,33,Month-to-month,109.9,Fiber optic,1,1,0,Yes,No,Yes,Yes,Bank transfer (automatic),3694.7,3.66
104,0,3,Month-to-month,19.95,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,58.0,0.66
105,0,47,Month-to-month,87.2,Fiber optic,0,1,1,No,Yes,No,No,Electronic check,4017.45,2.91
106,0,62,Two year,108.15,Fiber optic,0,1,1,Yes,Yes,Yes,Yes,Mailed check,6825.65,3.6
107,0,71,One year,116.3,Fiber optic,0,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),8309.55,3.88
108,0,7,Month-to-month,89.0,Fiber optic,1,1,0,No,No,No,No,Electronic check,605.45,2.97
109,0,27,Month-to-month,74.4,Fiber optic,0,1,1,Yes,No,No,No,Mailed check,1972.35,2.48
110,0,2,Month-to-month,20.05,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,33.7,0.67
111,0,25,Two year,35.05,DSL,0,0,1,Yes,No,No,Yes,Bank transfer (automatic),844.45,1.17
112,0,30,Month-to-month,74.75,DSL,1,0,0,Yes,Yes,No,No,Electronic check,2111.3,2.49
113,1,58,One year,105.5,Fiber optic,1,1,0,Yes,Yes,No,Yes,Credit card (automatic),6205.5,3.52
114,1,10,Month-to-month,85.25,Fiber optic,0,1,0,No,No,No,No,Electronic check,855.3,2.84
115,0,9,Month-to-month,75.2,Fiber optic,0,0,0,No,No,No,No,Credit card (automatic),633.85,2.51
116,1,6,Month-to-month,84.35,Fiber optic,1,1,0,No,No,No,No,Electronic check,474.9,2.81
117,0,69,One year,84.45,Fiber optic,0,1,1,Yes,No,Yes,No,Bank transfer (automatic),5848.6,2.82
118,0,66,Two year,102.4,Fiber optic,1,0,0,Yes,No,No,No,Bank transfer (automatic),6471.85,3.41
119,1,70,One year,115.55,Fiber optic,0,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),8127.6,3.85
120,1,25,One year,25.3,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),676.35,0.84
121,0,46,Two year,19.25,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Mailed check,864.2,0.64
122,0,54,One year,114.65,Fiber optic,0,1,0,Yes,Yes,Yes,Yes,Mailed check,6049.5,3.82
123,1,15,Month-to-month,105.1,Fiber optic,0,0,0,Yes,No,Yes,Yes,Electronic check,1582.75,3.5
124,0,12,Month-to-month,19.4,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),198.1,0.65
125,0,22,Month-to-month,50.35,DSL,0,0,0,No,Yes,No,No,Electronic check,1098.85,1.68
126,0,70,Two year,57.8,DSL,0,1,0,No,Yes,Yes,Yes,Bank transfer (automatic),4039.3,1.93
127,0,30,Month-to-month,84.3,Fiber optic,0,0,0,Yes,Yes,Yes,No,Credit card (automatic),2438.6,2.81
128,0,71,One year,100.55,Fiber optic,0,1,1,No,Yes,No,No,Bank transfer (automatic),7113.75,3.35
129,0,30,One year,19.8,No,0,1,0,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),576.65,0.66
130,1,4,Month-to-month,84.8,Fiber optic,0,1,1,No,Yes,Yes,No,Bank transfer (automatic),371.9,2.83
131,1,2,Month-to-month,85.85,Fiber optic,0,0,0,No,No,Yes,No,Electronic check,167.3,2.86
132,0,10,One year,19.95,No,0,0,1,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),219.5,0.66
133,0,4,Month-to-month,75.35,Fiber optic,1,0,0,Yes,No,No,No,Electronic check,273.4,2.51
134,0,52,Month-to-month,48.8,DSL,1,0,0,Yes,No,No,No,Credit card (automatic),2555.05,1.63
135,1,5,Month-to-month,47.15,DSL,0,0,0,No,No,No,No,Electronic check,223.15,1.57
136,0,8,Two year,20.15,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Mailed check,165.5,0.67
137,0,2,Month-to-month,44.3,DSL,1,0,0,No,No,No,No,Electronic check,89.3,1.48
138,0,3,Month-to-month,84.3,Fiber optic,0,0,0,No,Yes,No,No,Electronic check,235.05,2.81
139,0,19,Month-to-month,59.55,DSL,0,0,0,No,No,Yes,Yes,Electronic check,1144.6,1.98
140,0,72,Two year,69.65,DSL,0,0,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),4908.25,2.32
141,0,63,One year,36.1,DSL,1,1,0,Yes,No,No,Yes,Bank transfer (automatic),2298.9,1.2
142,0,66,Two year,56.6,DSL,0,1,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),3789.2,1.89
143,1,1,Month-to-month,75.9,Fiber optic,0,0,0,No,No,No,Yes,Electronic check,75.9,2.53
144,0,60,One year,79.2,Fiber optic,0,0,0,No,No,Yes,No,Bank transfer (automatic),4765.0,2.64
145,0,48,One year,45.0,DSL,0,1,1,Yes,No,Yes,No,Credit card (automatic),2196.3,1.5
146,1,1,Month-to-month,85.55,Fiber optic,0,0,0,No,No,Yes,No,Credit card (automatic),85.55,2.85
147,1,15,Month-to-month,93.35,Fiber optic,0,0,0,No,No,No,No,Electronic check,1444.65,3.11
148,0,50,Month-to-month,109.65,Fiber optic,0,1,0,Yes,Yes,No,Yes,Bank transfer (automatic),5405.8,3.66
149,0,72,Two year,89.7,DSL,0,1,1,Yes,Yes,Yes,Yes,Credit card (automatic),6339.3,2.99
150,0,46,Month-to-month,84.25,Fiber optic,0,0,0,Yes,Yes,No,No,Mailed check,3847.6,2.81
151,0,72,Two year,92.65,DSL,0,1,1,Yes,Yes,Yes,Yes,Bank transfer (automatic),6733.0,3.09
152,0,1,Month-to-month,19.7,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Mailed check,19.7,0.66
153,0,1,Month-to-month,50.1,DSL,0,0,0,No,No,No,No,Electronic check,50.1,1.67
154,0,67,Two year,92.45,Fiber optic,1,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),6140.85,3.08
155,0,48,Two year,79.65,DSL,0,1,1,No,Yes,No,Yes,Electronic check,3870.3,2.66
156,0,72,Two year,109.9,Fiber optic,0,0,0,Yes,Yes,Yes,Yes,Electronic check,7624.2,3.66
157,0,52,One year,81.4,DSL,0,1,0,Yes,Yes,Yes,Yes,Credit card (automatic),4354.45,2.71
158,0,67,One year,50.55,DSL,0,1,1,No,Yes,No,No,Credit card (automatic),3431.75,1.68
159,1,28,Month-to-month,81.05,Fiber optic,0,1,1,No,No,No,No,Electronic check,2227.1,2.7
160,0,32,Month-to-month,62.45,DSL,0,1,1,No,Yes,Yes,No,Bank transfer (automatic),2045.55,2.08
161,1,27,Month-to-month,75.2,Fiber optic,1,1,0,Yes,No,No,No,Bank transfer (automatic),1929.35,2.51
162,0,3,Month-to-month,90.4,Fiber optic,0,0,0,No,Yes,Yes,No,Electronic check,268.45,3.01
163,1,2,Month-to-month,85.65,Fiber optic,0,0,0,No,No,No,No,Electronic check,181.5,2.86
164,1,9,Month-to-month,72.9,DSL,0,0,1,No,No,Yes,Yes,Mailed check,651.4,2.43
165,0,50,Two year,70.5,DSL,0,1,1,Yes,No,No,Yes,Credit card (automatic),3486.65,2.35
166,0,71,Two year,20.1,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),1389.6,0.67
167,1,32,Month-to-month,74.9,Fiber optic,1,1,0,No,No,No,No,Electronic check,2303.35,2.5
168,0,16,Month-to-month,100.7,Fiber optic,0,1,1,Yes,No,Yes,No,Bank transfer (automatic),1522.7,3.36
169,0,67,Two year,105.65,Fiber optic,0,1,1,No,No,Yes,Yes,Bank transfer (automatic),6717.9,3.52
170,0,72,Two year,114.3,Fiber optic,0,1,1,Yes,Yes,Yes,Yes,Credit card (automatic),8058.55,3.81
171,1,3,Month-to-month,19.75,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Electronic check,58.85,0.66
172,0,23,One year,24.35,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Mailed check,538.5,0.81
173,0,72,Two year,69.85,DSL,0,1,1,Yes,Yes,Yes,Yes,Bank transfer (automatic),5102.35,2.33
174,0,7,Month-to-month,58.85,DSL,0,1,1,Yes,Yes,Yes,No,Mailed check,465.7,1.96
176,0,8,Month-to-month,54.4,DSL,0,1,1,No,No,No,No,Electronic check,475.1,1.81
177,0,66,Two year,50.55,DSL,0,1,1,No,No,No,Yes,Bank transfer (automatic),3364.55,1.68
178,1,5,Month-to-month,21.05,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,113.85,0.7
179,1,49,Month-to-month,103.7,Fiber optic,0,0,0,No,Yes,Yes,No,Bank transfer (automatic),5036.3,3.46
180,0,63,Two year,19.95,No,0,1,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),1234.8,0.66
181,0,12,Month-to-month,29.3,DSL,1,1,1,No,No,No,Yes,Mailed check,355.9,0.98
182,0,27,Month-to-month,54.75,DSL,0,1,1,Yes,Yes,No,No,Credit card (automatic),1510.3,1.82
183,0,35,Month-to-month,60.55,DSL,0,0,0,Yes,Yes,Yes,No,Electronic check,1982.6,2.02
184,0,54,Month-to-month,86.2,DSL,0,1,1,No,Yes,Yes,Yes,Electronic check,4524.05,2.87
185,1,1,Month-to-month,95.45,Fiber optic,0,0,0,No,No,No,No,Electronic check,95.45,3.18
186,0,5,Month-to-month,63.95,DSL,0,0,0,No,No,Yes,Yes,Credit card (automatic),318.1,2.13
187,0,19,One year,65.35,DSL,0,0,0,No,Yes,No,Yes,Bank transfer (automatic),1231.85,2.18
188,0,52,Two year,50.2,DSL,0,1,1,No,Yes,Yes,Yes,Mailed check,2554.0,1.67
189,0,72,Two year,63.8,DSL,0,1,1,Yes,Yes,Yes,Yes,Bank transfer (automatic),4684.3,2.13
190,0,32,Two year,20.05,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),614.45,0.67
191,1,8,Month-to-month,101.15,Fiber optic,0,1,0,No,Yes,Yes,No,Electronic check,842.9,3.37
192,0,41,One year,65.0,DSL,0,0,0,No,No,Yes,No,Mailed check,2531.8,2.17
193,0,5,Month-to-month,19.25,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,86.05,0.64
194,0,11,One year,36.05,DSL,0,0,1,Yes,No,No,Yes,Mailed check,402.6,1.2
195,1,5,Month-to-month,96.1,Fiber optic,0,0,0,No,No,No,Yes,Electronic check,453.4,3.2
196,0,16,One year,19.05,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,326.65,0.64
197,0,71,One year,105.75,Fiber optic,1,0,0,No,Yes,No,Yes,Bank transfer (automatic),7382.85,3.52
198,0,11,One year,40.4,DSL,0,0,0,No,Yes,Yes,Yes,Credit card (automatic),422.6,1.35
199,1,61,Month-to-month,99.15,Fiber optic,0,1,1,No,Yes,No,No,Electronic check,6010.05,3.3
200,0,71,One year,84.8,DSL,0,1,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),6046.1,2.83
201,0,9,Month-to-month,19.85,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,178.8,0.66
202,0,6,Month-to-month,49.45,DSL,0,0,0,Yes,No,No,No,Electronic check,314.6,1.65
203,1,26,Month-to-month,88.8,Fiber optic,0,0,0,No,No,No,No,Bank transfer (automatic),2274.35,2.96
204,0,6,Month-to-month,55.15,DSL,0,0,0,Yes,Yes,No,No,Mailed check,322.9,1.84
205,0,11,Month-to-month,84.8,Fiber optic,0,0,0,No,No,Yes,No,Electronic check,888.75,2.83
206,1,1,Month-to-month,80.55,Fiber optic,0,1,0,No,No,No,No,Electronic check,80.55,2.68
207,0,49,Two year,20.15,No,0,1,0,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),973.35,0.67
208,0,3,Month-to-month,58.7,DSL,0,1,1,No,Yes,No,No,Credit card (automatic),168.6,1.96
209,0,53,Two year,99.5,Fiber optic,0,0,0,Yes,Yes,Yes,Yes,Mailed check,5424.25,3.32
210,1,23,Month-to-month,99.85,Fiber optic,0,1,1,Yes,No,No,Yes,Electronic check,2331.3,3.33
211,1,2,Month-to-month,45.35,DSL,0,0,0,No,No,No,No,Electronic check,89.5,1.51
212,1,1,Month-to-month,48.55,DSL,0,0,0,Yes,No,No,No,Mailed check,48.55,1.62
213,0,3,Two year,26.4,No,0,0,1,No internet service,No internet service,No internet service,No internet service,Mailed check,121.25,0.88
214,1,68,Month-to-month,100.2,Fiber optic,1,1,0,No,Yes,No,No,Electronic check,6851.65,3.34
215,1,8,Month-to-month,94.7,Fiber optic,0,0,0,No,No,Yes,No,Electronic check,740.3,3.16
216,0,70,One year,97.65,Fiber optic,0,1,0,No,No,Yes,No,Electronic check,6982.5,3.26
217,0,39,One year,100.0,Fiber optic,0,1,1,No,No,Yes,No,Electronic check,3835.55,3.33
218,1,1,Month-to-month,70.1,Fiber optic,0,0,0,No,No,No,No,Electronic check,70.1,2.34
220,1,3,Month-to-month,97.9,Fiber optic,0,0,0,No,Yes,No,Yes,Electronic check,315.3,3.26
221,0,60,One year,102.5,Fiber optic,0,1,0,No,Yes,Yes,No,Bank transfer (automatic),6157.6,3.42
222,1,5,Month-to-month,69.95,Fiber optic,0,1,0,No,No,No,No,Electronic check,330.15,2.33
223,1,3,Month-to-month,81.35,Fiber optic,1,0,0,No,Yes,No,No,Electronic check,233.7,2.71
224,0,55,One year,66.05,DSL,0,1,0,Yes,Yes,No,Yes,Credit card (automatic),3462.1,2.2
225,0,72,Two year,61.2,DSL,0,0,0,Yes,No,Yes,Yes,Credit card (automatic),4390.25,2.04
226,0,72,Two year,74.4,DSL,1,1,0,Yes,Yes,Yes,Yes,Bank transfer (automatic),5360.75,2.48
227,1,41,Month-to-month,106.3,Fiber optic,0,0,0,No,Yes,Yes,No,Electronic check,4443.45,3.54
228,0,60,Two year,39.6,DSL,0,0,0,Yes,Yes,Yes,No,Bank transfer (automatic),2424.5,1.32
229,1,6,Month-to-month,89.3,Fiber optic,0,0,0,No,No,No,No,Electronic check,577.6,2.98
230,0,46,Two year,108.9,Fiber optic,0,1,0,No,Yes,Yes,Yes,Credit card (automatic),4854.3,3.63
231,0,15,Month-to-month,19.9,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,320.45,0.66
232,1,58,Month-to-month,102.1,Fiber optic,0,1,0,No,No,Yes,Yes,Credit card (automatic),5885.4,3.4
233,0,23,Two year,19.6,No,0,1,1,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),426.65,0.65
234,1,31,Month-to-month,98.9,Fiber optic,1,1,1,No,No,Yes,Yes,Electronic check,2911.3,3.3
235,0,11,Month-to-month,45.9,DSL,0,1,0,No,No,No,No,Bank transfer (automatic),521.9,1.53
236,0,56,Two year,99.9,Fiber optic,1,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),5706.3,3.33
237,0,25,Month-to-month,20.05,No,0,0,1,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),471.7,0.67
238,0,68,Two year,64.35,DSL,0,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),4539.6,2.14
239,0,40,Two year,19.65,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),830.25,0.65
240,1,36,Month-to-month,84.9,Fiber optic,0,0,0,No,No,No,No,Electronic check,3067.2,2.83
241,1,32,Month-to-month,108.15,Fiber optic,0,0,0,Yes,Yes,No,Yes,Credit card (automatic),3432.9,3.6
242,0,71,Two year,86.85,DSL,0,1,1,Yes,Yes,Yes,Yes,Bank transfer (automatic),6263.8,2.9
243,0,17,Month-to-month,102.55,Fiber optic,0,1,0,No,Yes,Yes,No,Electronic check,1742.5,3.42
244,0,18,Month-to-month,78.2,Fiber optic,0,1,0,No,No,Yes,Yes,Electronic check,1468.75,2.61
245,0,37,Month-to-month,91.2,Fiber optic,0,0,0,Yes,Yes,Yes,No,Bank transfer (automatic),3382.3,3.04
246,0,2,Month-to-month,19.35,No,0,0,0,No internet service,No internet service,No internet service,No internet service,Mailed check,46.35,0.64
247,0,28,One year,70.4,Fiber optic,0,1,1,No,No,No,No,Bank transfer (automatic),1992.2,2.35
248,0,9,One year,39.55,DSL,0,0,0,Yes,Yes,Yes,No,Mailed check,373.0,1.32
249,0,1,Month-to-month,50.15,DSL,0,0,0,Yes,No,No,No,Electronic check,50.15,1.67
250,0,65,Two year,20.4,No,0,1,0,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),1414.45,0.68
